demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCostRangeType,MinCostDelay,MinDelayDelay
0,60,3971,148.7,442.3,0,1,36.7,2,0,479,112
0,60,3971,515.7,958,0,1,36.7,2,0,479,112
0,2627,163,129.5,237.5,0,1,13.5,2,0,251,116
0,2627,163,264.5,502,0,1,13.5,2,0,251,116
0,5778,4253,123.4,438.6,0,1,39.4,2,0,478,84
0,5778,4253,517.4,956,0,1,39.4,2,0,478,84
0,3804,1099,210.6,527.4,0,1,39.6,2,0,567,171
0,3804,1099,606.6,1134,0,1,39.6,2,0,567,171
0,1290,483,140.7,482.3,0,1,42.7,2,0,525,98
0,1290,483,567.7,1050,0,1,42.7,2,0,525,98
0,5361,5032,128.3,258.7,0,1,16.3,2,0,275,112
0,5361,5032,291.3,550,0,1,16.3,2,0,275,112
0,1761,5815,167.4,386.6,0,1,27.4,2,0,414,140
0,1761,5815,441.4,828,0,1,27.4,2,0,414,140
0,1134,4522,156.3,518.7,0,1,45.3,2,0,564,111
0,1134,4522,609.3,1128,0,1,45.3,2,0,564,111
0,1698,5462,122.5,414.5,0,1,36.5,2,0,451,86
0,1698,5462,487.5,902,0,1,36.5,2,0,451,86
0,2472,1491,150.2,519.8,0,1,46.2,2,0,566,104
0,2472,1491,612.2,1132,0,1,46.2,2,0,566,104
0,5337,134,121.9,409.1,0,1,35.9,2,0,445,86
0,5337,134,480.9,890,0,1,35.9,2,0,445,86
0,3498,5260,122.6,127.4,0,1,0.6,2,0,128,122
0,3498,5260,128.6,256,0,1,0.6,2,0,128,122
0,3821,2855,109,221,0,1,14,2,0,235,95
0,3821,2855,249,470,0,1,14,2,0,235,95
0,4765,1180,138.7,232.3,0,1,11.7,2,0,244,127
0,4765,1180,255.7,488,0,1,11.7,2,0,244,127
0,2353,1917,98,98,0,1,0,2,0,98,98
0,2353,1917,98,196,0,1,0,2,0,98,98
0,4235,2413,102.2,247.8,0,1,18.2,2,0,266,84
0,4235,2413,284.2,532,0,1,18.2,2,0,266,84
0,240,862,145.6,294.4,0,1,18.6,2,0,313,127
0,240,862,331.6,626,0,1,18.6,2,0,313,127
0,2928,19,113.5,173.5,0,1,7.5,2,0,181,106
0,2928,19,188.5,362,0,1,7.5,2,0,181,106
0,5468,1084,156.5,616.5,0,1,57.5,2,0,674,99
0,5468,1084,731.5,1348,0,1,57.5,2,0,674,99
0,1470,1110,154.6,695.4,0,1,67.6,2,0,763,87
0,1470,1110,830.6,1526,0,1,67.6,2,0,763,87
0,1568,1183,126,334,0,1,26,2,0,360,100
0,1568,1183,386,720,0,1,26,2,0,360,100
0,142,3681,109.3,335.7,0,1,28.3,2,0,364,81
0,142,3681,392.3,728,0,1,28.3,2,0,364,81
0,1350,1276,156.6,449.4,0,1,36.6,2,0,486,120
0,1350,1276,522.6,972,0,1,36.6,2,0,486,120
0,2203,3049,150.6,283.4,0,1,16.6,2,0,300,134
0,2203,3049,316.6,600,0,1,16.6,2,0,300,134
0,1090,4676,127.5,315.5,0,1,23.5,2,0,339,104
0,1090,4676,362.5,678,0,1,23.5,2,0,339,104
0,4540,779,110.1,318.9,0,1,26.1,2,0,345,84
0,4540,779,371.1,690,0,1,26.1,2,0,345,84
0,4810,2390,149.4,456.6,0,1,38.4,2,0,495,111
0,4810,2390,533.4,990,0,1,38.4,2,0,495,111
0,39,2631,183.8,382.2,0,1,24.8,2,0,407,159
0,39,2631,431.8,814,0,1,24.8,2,0,407,159
0,5246,5157,116,220,0,1,13,2,0,233,103
0,5246,5157,246,466,0,1,13,2,0,233,103
0,4163,1951,99.4,358.6,0,1,32.4,2,0,391,67
0,4163,1951,423.4,782,0,1,32.4,2,0,391,67
