demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,Rangetype,MinCostDelay,MinDelayDelay,ApIt,ApTime,BpIt,BpTime
0,80,589,0,52.5,0,1,1,2,156,-1,577,21,1,57597,1,14848
1,2414,528,0,97.5,0,1,1,2,80,-1,287,39,1,59977,1,15169
2,6746,6236,0,82.5,0,1,1,2,229,-1,204,33,1,58913,1,14470
3,6304,5699,0,110.0,0,1,1,2,143,-1,178,44,1,59376,1,14909
4,9039,2040,0,95.0,0,1,1,2,128,-1,503,38,1,59016,1,14848
5,4785,7424,0,105.0,0,1,1,2,114,-1,487,42,1,60462,1,14521
6,5883,9450,0,102.5,0,1,1,2,87,-1,218,41,1,59346,1,14857
7,8072,3105,0,90.0,0,1,1,2,161,-1,626,36,1,59145,1,16511
8,3380,3865,0,112.5,0,1,1,2,154,-1,334,45,1,61607,1,14893
9,9637,973,0,77.5,0,1,1,2,145,-1,446,31,1,59668,1,16516
10,4747,1521,0,105.0,0,1,1,2,73,-1,448,42,1,59305,1,14463
11,4255,3680,0,77.5,0,1,1,2,79,-1,431,31,1,58308,1,15542
12,2656,9074,0,107.5,0,1,1,2,110,-1,465,43,1,59128,1,14763
13,2697,2474,0,100.0,0,1,1,2,113,-1,265,40,1,59079,1,14566
14,7522,7056,0,90.0,0,1,1,2,135,-1,628,36,1,58350,1,14981
15,3345,9937,0,82.5,0,1,1,2,154,-1,334,33,1,57961,1,15303
16,7584,91,0,92.5,0,1,1,2,108,-1,179,37,1,59231,1,16320
17,5790,1564,0,95.0,0,1,1,2,113,-1,411,38,1,57842,1,14902
18,2281,6927,0,75.0,0,1,1,2,163,-1,409,30,1,58530,1,15071
19,8989,8164,0,100.0,0,1,1,2,171,-1,457,40,1,62405,1,16308
20,6378,7061,0,97.5,0,1,1,2,88,-1,477,39,1,58743,1,17777
21,1269,9758,0,117.5,0,1,1,2,104,-1,441,47,1,60566,1,15618
22,7278,906,0,105.0,0,1,1,2,57,-1,451,42,1,58851,1,14822
23,731,8378,0,92.5,0,1,1,2,126,-1,216,37,1,58580,1,14707
24,8779,1338,0,102.5,0,1,1,2,105,-1,473,41,1,59399,1,14755
25,8410,7787,0,132.5,0,1,1,2,119,-1,410,53,1,58792,1,15628
26,6765,1107,0,85.0,0,1,1,2,193,-1,492,34,1,59081,1,15530
