demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,Rangetype,MinCostDelay,MinDelayDelay,ApIt,ApTime,BpIt,BpTime
0,2372,903,0,377.5,0,1,1,2,117,-1,661,151,1,4126,1,1386
1,1058,727,0,337.5,0,1,1,2,113,-1,452,135,1,3548,1,1425
2,951,1309,0,362.5,0,1,1,2,146,-1,392,145,1,3458,1,1242
3,1007,457,0,220.0,0,1,1,2,182,-1,390,88,1,3459,1,1224
4,2852,3358,0,315.0,0,1,1,2,156,-1,482,126,1,3415,1,1219
5,1947,2025,0,262.5,0,1,1,2,87,-1,249,105,1,3386,1,1214
6,3898,3490,0,295.0,0,1,1,2,79,-1,210,118,1,3365,1,1229
7,2256,525,0,282.5,0,1,1,2,128,-1,396,113,1,3419,1,1221
8,1542,3283,0,235.0,0,1,1,2,145,-1,361,94,1,3404,1,1246
9,2813,3086,0,310.0,0,1,1,2,118,-1,193,124,1,3400,1,1405
10,2746,3342,0,335.0,0,1,1,2,134,-1,349,134,1,3396,1,1293
11,2343,2736,0,367.5,0,1,1,2,137,-1,316,147,1,3436,1,1461
12,971,1425,0,225.0,0,1,1,2,165,-1,392,90,1,3349,1,1223
13,2166,1066,0,350.0,0,1,1,2,128,-1,198,140,1,3381,1,1420
14,3357,3044,0,315.0,0,1,1,2,136,-1,469,126,1,3322,1,1227
15,2724,1729,0,247.5,0,1,1,2,123,-1,245,99,1,3367,1,1241
16,3947,134,0,290.0,0,1,1,2,187,-1,449,116,1,3333,1,1354
17,2808,1251,0,297.5,0,1,1,2,109,-1,169,119,1,3303,1,1330
18,1795,3815,0,222.5,0,1,1,2,251,-1,569,89,1,3348,1,1181
19,1708,1000,0,242.5,0,1,1,2,141,-1,437,97,1,3299,1,1206
20,3525,3655,0,200.0,0,1,1,2,45,-1,166,80,1,3318,1,1247
21,3025,3424,0,260.0,0,1,1,2,103,-1,366,104,1,3337,1,1295
22,3497,1633,0,455.0,0,1,1,2,135,-1,356,182,1,3315,1,1383
23,301,1039,0,232.5,0,1,1,2,168,-1,697,93,1,3342,1,1224
24,478,15,0,322.5,0,1,1,2,123,-1,552,129,1,3321,1,1200
25,2456,2821,0,200.0,0,1,1,2,123,-1,220,80,1,3351,1,1203
26,2751,3779,0,270.0,0,1,1,2,113,-1,257,108,1,3306,1,1195
27,599,917,0,317.5,0,1,1,2,145,-1,368,127,1,3352,1,1252
28,846,3956,0,290.0,0,1,1,2,120,-1,485,116,1,3385,1,1414
