demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,Rangetype,MinCostDelay,MinDelayDelay,ApIt,ApTime,BpIt,BpTime
0,0,456,0,70.0,0,1,1,2,94,-1,369,28,1,3020,1,650
1,839,813,0,87.5,0,1,1,2,97,-1,282,35,1,2629,1,624
2,667,820,0,132.5,0,1,1,2,21,-1,101,53,1,2563,1,606
3,658,799,0,67.5,0,1,1,2,132,-1,220,27,1,2580,1,656
4,526,106,0,127.5,0,1,1,2,99,-1,520,51,1,2609,1,684
5,433,478,0,110.0,0,1,1,2,95,-1,339,44,1,2606,1,507
6,530,88,0,110.0,0,1,1,2,83,-1,266,44,1,2557,1,584
7,712,80,0,85.0,0,1,1,2,102,-1,335,34,1,2548,1,601
8,401,231,0,65.0,0,1,1,2,54,-1,354,26,1,2516,1,524
9,921,988,0,55.0,0,1,1,2,85,-1,106,22,1,2628,1,621
10,396,193,0,77.5,0,1,1,2,137,-1,319,31,1,2430,1,648
11,303,317,0,115.0,0,1,1,2,77,-1,212,46,1,2460,1,662
12,851,655,0,102.5,0,1,1,2,92,-1,432,41,1,2522,1,634
13,125,690,0,87.5,0,1,1,2,147,-1,559,35,1,2621,1,604
14,468,793,0,85.0,0,1,1,2,76,-1,240,34,1,2514,1,519
15,510,126,0,102.5,0,1,1,2,107,-1,246,41,1,2497,1,517
16,944,422,0,77.5,0,1,1,2,141,-1,138,31,1,2496,1,675
17,166,471,0,50.0,0,1,1,2,209,-1,275,20,1,2472,1,532
18,529,131,0,75.0,0,1,1,2,100,-1,450,30,1,2468,1,633
19,319,314,0,85.0,0,1,1,2,60,-1,538,34,1,2519,1,581
20,962,485,0,172.5,0,1,1,2,64,-1,397,69,1,2485,1,535
21,720,492,0,102.5,0,1,1,2,61,-1,390,41,1,2903,1,642
22,924,327,0,102.5,0,1,1,2,77,-1,557,41,1,2534,1,561
23,15,197,0,72.5,0,1,1,2,44,-1,256,29,1,2475,1,519
24,667,412,0,152.5,0,1,1,2,90,-1,279,61,1,2525,1,574
25,390,322,0,125.0,0,1,1,2,117,-1,471,50,1,2660,1,552
