demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,Rangetype,MinCostDelay,MinDelayDelay,ApIt,ApTime,BpIt,BpTime
0,555,3618,0,92.5,0,1,1,2,170,-1,362,37,1,21018,1,4346
1,3110,2261,0,112.5,0,1,1,2,89,-1,394,45,1,18849,1,4109
2,2458,792,0,132.5,0,1,1,2,104,-1,419,53,1,18344,1,4161
3,2004,3494,0,47.5,0,1,1,2,194,-1,449,19,1,19027,1,3985
4,1096,785,0,132.5,0,1,1,2,77,-1,338,53,1,18356,1,4190
5,3311,749,0,105.0,0,1,1,2,53,-1,261,42,1,18268,1,3902
6,99,2805,0,115.0,0,1,1,2,78,-1,335,46,1,18543,1,3950
7,3134,1236,0,125.0,0,1,1,2,74,-1,266,50,1,18869,1,4192
8,1537,2670,0,120.0,0,1,1,2,78,-1,137,48,1,18560,1,4831
9,833,2267,0,82.5,0,1,1,2,12,-1,82,33,1,18733,1,4292
10,2126,1199,0,65.0,0,1,1,2,64,-1,388,26,1,18583,1,3984
11,170,3798,0,115.0,0,1,1,2,108,-1,281,46,1,18457,1,4488
12,2031,3395,0,105.0,0,1,1,2,136,-1,245,42,1,18705,1,4382
13,1087,2012,0,125.0,0,1,1,2,110,-1,288,50,1,18607,1,3929
14,80,1994,0,120.0,0,1,1,2,147,-1,381,48,1,18783,1,4333
15,1982,3190,0,117.5,0,1,1,2,76,-1,317,47,1,18645,1,3989
16,255,792,0,105.0,0,1,1,2,67,-1,192,42,1,18733,1,4090
17,334,1736,0,92.5,0,1,1,2,109,-1,397,37,1,18485,1,4174
18,723,2339,0,100.0,0,1,1,2,72,-1,486,40,1,18731,1,3967
19,3476,893,0,97.5,0,1,1,2,91,-1,242,39,1,19040,1,4102
20,2921,3575,0,115.0,0,1,1,2,98,-1,568,46,1,19168,1,4523
21,3698,2055,0,85.0,0,1,1,2,30,-1,63,34,1,18671,1,4128
22,1164,1588,0,87.5,0,1,1,2,164,-1,431,35,1,18607,1,4664
23,1077,1997,0,105.0,0,1,1,2,63,-1,312,42,1,18720,1,4200
24,3855,3203,0,90.0,0,1,1,2,108,-1,207,36,1,18566,1,4253
25,3548,25,0,75.0,0,1,1,2,176,-1,691,30,1,18524,1,4138
26,3353,1579,0,102.5,0,1,1,2,84,-1,264,41,1,18611,1,3937
27,3772,440,0,120.0,0,1,1,2,170,-1,408,48,1,19439,1,4129
