demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,Rangetype,MinCostDelay,MinDelayDelay,ApIt,ApTime,BpIt,BpTime
0,5089,4154,0,325.0,0,1,1,2,131,-1,385,130,1,9418,1,2315
1,2007,1242,0,225.0,0,1,1,2,193,-1,539,90,1,8644,1,2161
2,3010,2726,0,335.0,0,1,1,2,71,-1,276,134,1,8400,1,2792
3,1875,5612,0,205.0,0,1,1,2,135,-1,439,82,1,9300,1,2123
4,4354,3726,0,307.5,0,1,1,2,150,-1,381,123,1,8441,1,2229
5,5296,1018,0,192.5,0,1,1,2,153,-1,310,77,1,8389,1,2146
6,4819,4213,0,245.0,0,1,1,2,174,-1,262,98,1,8349,1,2105
7,3485,5661,0,400.0,0,1,1,2,85,-1,472,160,1,8398,1,2358
8,3073,4774,0,330.0,0,1,1,2,152,-1,445,132,1,8431,1,2343
9,4597,3534,0,245.0,0,1,1,2,164,-1,390,98,1,8338,1,2166
10,3296,5009,0,262.5,0,1,1,2,147,-1,495,105,1,8459,1,2074
11,5052,529,0,272.5,0,1,1,2,129,-1,490,109,1,8351,1,2100
12,178,5507,0,302.5,0,1,1,2,170,-1,474,121,1,8453,1,2129
13,4611,2689,0,317.5,0,1,1,2,114,-1,475,127,1,8329,1,2026
14,494,1843,0,265.0,0,1,1,2,142,-1,360,106,1,8327,1,2101
15,1146,5583,0,420.0,0,1,1,2,67,-1,264,168,1,8388,1,2043
16,1177,3360,0,295.0,0,1,1,2,168,-1,370,118,1,8383,1,2316
17,232,3404,0,200.0,0,1,1,2,170,-1,409,80,1,8271,1,2201
18,2972,4938,0,257.5,0,1,1,2,102,-1,110,103,1,8128,1,1938
19,1131,2621,0,217.5,0,1,1,2,171,-1,499,87,1,8220,1,2050
20,834,3794,0,262.5,0,1,1,2,222,-1,367,105,1,8411,1,2381
21,5963,4259,0,182.5,0,1,1,2,238,-1,693,73,1,8153,1,2176
22,1793,216,0,180.0,0,1,1,2,171,-1,323,72,1,8575,1,2224
23,1097,4803,0,317.5,0,1,1,2,186,-1,346,127,1,8382,1,2196
24,1057,60,0,322.5,0,1,1,2,89,-1,511,129,1,8419,1,2337
