demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,Rangetype,MinCostDelay,MinDelayDelay,ApIt,ApTime,BpIt,BpTime
0,8657,6227,0,110.0,0,1,1,2,135,-1,305,44,1,44001,1,16538
1,5667,495,0,117.5,0,1,1,2,113,-1,529,47,1,38290,1,16797
2,4911,4091,0,92.5,0,1,1,2,122,-1,105,37,1,38398,1,16470
3,6480,945,0,125.0,0,1,1,2,144,-1,497,50,1,40956,1,15788
4,5802,5023,0,157.5,0,1,1,2,67,-1,466,63,1,37202,1,15801
5,3285,5688,0,87.5,0,1,1,2,161,-1,494,35,1,37611,1,15986
6,1185,1265,0,90.0,0,1,1,2,129,-1,303,36,1,37325,1,15669
7,9560,8099,0,130.0,0,1,1,2,115,-1,316,52,1,37406,1,17727
8,7762,9051,0,85.0,0,1,1,2,190,-1,353,34,1,37363,1,16513
9,4712,5501,0,77.5,0,1,1,2,132,-1,244,31,1,37147,1,17317
10,4939,6350,0,82.5,0,1,1,2,146,-1,476,33,1,38059,1,17502
11,3690,5298,0,112.5,0,1,1,2,96,-1,502,45,1,37061,1,17206
12,1614,4677,0,140.0,0,1,1,2,106,-1,684,56,1,36739,1,17195
13,7424,813,0,107.5,0,1,1,2,96,-1,307,43,1,37179,1,16403
14,3702,6081,0,90.0,0,1,1,2,126,-1,371,36,1,38873,1,15872
15,3392,9369,0,80.0,0,1,1,2,138,-1,292,32,1,38114,1,16364
16,2928,8303,0,85.0,0,1,1,2,109,-1,521,34,1,37274,1,17332
17,3460,9408,0,102.5,0,1,1,2,133,-1,639,41,1,37756,1,15963
18,1497,5051,0,62.5,0,1,1,2,174,-1,429,25,1,37140,1,17466
19,56,1134,0,82.5,0,1,1,2,84,-1,436,33,1,37327,1,15798
20,7091,1241,0,97.5,0,1,1,2,42,-1,212,39,1,37500,1,16734
21,2399,3003,0,90.0,0,1,1,2,116,-1,558,36,1,37216,1,16276
22,5692,6513,0,115.0,0,1,1,2,138,-1,512,46,1,37521,1,17293
23,8406,6756,0,115.0,0,1,1,2,128,-1,497,46,1,37592,1,15741
24,2015,3345,0,150.0,0,1,1,2,41,-1,397,60,1,37761,1,16408
25,3107,2057,0,112.5,0,1,1,2,85,-1,511,45,1,37929,1,16005
26,4995,4721,0,117.5,0,1,1,2,116,-1,510,47,1,37878,1,18018
27,6734,2419,0,107.5,0,1,1,2,126,-1,368,43,1,38300,1,15682
