demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,Rangetype,MinCostDelay,MinDelayDelay,ApIt,ApTime,BpIt,BpTime
0,3389,2755,0,132.5,0,1,1,2,100,-1,507,53,1,14149,1,4926
1,1495,3613,0,82.5,0,1,1,2,125,-1,345,33,1,12412,1,4786
2,1762,1380,0,107.5,0,1,1,2,124,-1,304,43,1,12288,1,4785
3,426,3389,0,102.5,0,1,1,2,106,-1,351,41,1,12370,1,5059
4,3735,2264,0,112.5,0,1,1,2,118,-1,555,45,1,11924,1,4653
5,1068,425,0,127.5,0,1,1,2,118,-1,242,51,1,13626,1,5425
6,2656,719,0,97.5,0,1,1,2,84,-1,293,39,1,12087,1,6520
7,3408,3754,0,95.0,0,1,1,2,147,-1,272,38,1,15275,1,5898
8,241,815,0,92.5,0,1,1,2,122,-1,311,37,1,12052,1,4290
9,1890,2481,0,110.0,0,1,1,2,95,-1,269,44,1,10993,1,4009
10,3274,1632,0,117.5,0,1,1,2,71,-1,222,47,1,11034,1,4026
11,1588,78,0,87.5,0,1,1,2,137,-1,292,35,1,11488,1,4005
12,573,1976,0,90.0,0,1,1,2,90,-1,223,36,1,10806,1,4095
13,2382,2420,0,107.5,0,1,1,2,158,-1,532,43,1,11800,1,3972
14,1200,532,0,72.5,0,1,1,2,258,-1,304,29,1,12211,1,4734
15,294,1978,0,95.0,0,1,1,2,96,-1,350,38,1,12417,1,5029
16,242,1341,0,130.0,0,1,1,2,74,-1,390,52,1,12429,1,4816
17,806,3251,0,105.0,0,1,1,2,85,-1,654,42,1,12353,1,4793
18,2413,567,0,120.0,0,1,1,2,76,-1,273,48,1,12247,1,4725
19,3005,3006,0,105.0,0,1,1,2,105,-1,460,42,1,12187,1,5092
20,1734,3787,0,120.0,0,1,1,2,95,-1,362,48,1,12510,1,5004
21,2757,3977,0,142.5,0,1,1,2,81,-1,434,57,1,12299,1,4814
