demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,Rangetype,MinCostDelay,MinDelayDelay,ApIt,ApTime,BpIt,BpTime
0,1964,821,0,305.0,0,1,1,2,80,-1,251,122,1,5725,1,1336
1,3810,883,0,272.5,0,1,1,2,87,-1,290,109,1,5747,1,1284
2,2464,2816,0,197.5,0,1,1,2,200,-1,463,79,1,5198,1,1251
3,1040,3790,0,400.0,0,1,1,2,103,-1,431,160,1,5275,1,1249
4,2633,1095,0,285.0,0,1,1,2,170,-1,395,114,1,5225,1,1335
5,836,1674,0,250.0,0,1,1,2,168,-1,343,100,1,5104,1,1297
6,69,1307,0,265.0,0,1,1,2,128,-1,158,106,1,5166,1,1242
7,1023,2983,0,247.5,0,1,1,2,135,-1,355,99,1,5177,1,1290
8,1952,1801,0,300.0,0,1,1,2,145,-1,375,120,1,5178,1,1336
9,2303,2408,0,317.5,0,1,1,2,83,-1,313,127,1,5185,1,1220
10,540,2467,0,242.5,0,1,1,2,118,-1,295,97,1,4918,1,1233
11,1311,2856,0,252.5,0,1,1,2,156,-1,486,101,1,4998,1,1166
12,3640,2801,0,285.0,0,1,1,2,180,-1,521,114,1,4977,1,1326
13,563,3803,0,190.0,0,1,1,2,197,-1,372,76,1,4979,1,1206
14,567,648,0,247.5,0,1,1,2,159,-1,442,99,1,4985,1,1252
15,2643,3553,0,290.0,0,1,1,2,163,-1,547,116,1,5052,1,1289
16,2096,3831,0,317.5,0,1,1,2,175,-1,409,127,1,5464,1,1341
17,1227,3824,0,295.0,0,1,1,2,77,-1,223,118,1,5150,1,1219
18,2453,1297,0,297.5,0,1,1,2,158,-1,440,119,1,5101,1,1214
19,1132,3828,0,315.0,0,1,1,2,120,-1,526,126,1,5117,1,1282
20,1629,2936,0,267.5,0,1,1,2,165,-1,322,107,1,5244,1,1373
21,2197,3893,0,230.0,0,1,1,2,92,-1,223,92,1,5338,1,1292
22,1744,3089,0,280.0,0,1,1,2,111,-1,279,112,1,5159,1,1269
