demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,Rangetype,MinCostDelay,MinDelayDelay,ApIt,ApTime,BpIt,BpTime
0,1964,821,0,215.0,0,1,1,2,87,-1,284,86,1,11384,1,2884
1,1490,1706,0,137.5,0,1,1,2,118,-1,319,55,1,11178,1,2688
2,3810,883,0,135.0,0,1,1,2,120,-1,332,54,1,10646,1,2787
3,836,3805,0,135.0,0,1,1,2,125,-1,546,54,1,10416,1,2463
4,2464,2816,0,167.5,0,1,1,2,133,-1,356,67,1,10337,1,2421
5,1040,3790,0,90.0,0,1,1,2,106,-1,416,36,1,10150,1,2455
6,836,1674,0,140.0,0,1,1,2,122,-1,269,56,1,10429,1,2378
7,1728,2270,0,137.5,0,1,1,2,118,-1,369,55,1,10392,1,2335
8,69,1307,0,220.0,0,1,1,2,50,-1,156,88,1,10217,1,2546
9,1023,2983,0,117.5,0,1,1,2,112,-1,309,47,1,10211,1,2673
10,1952,1801,0,135.0,0,1,1,2,132,-1,360,54,1,10274,1,2538
11,2303,2408,0,147.5,0,1,1,2,48,-1,263,59,1,10344,1,2449
12,2264,2808,0,120.0,0,1,1,2,130,-1,232,48,1,9918,1,2777
13,540,2467,0,107.5,0,1,1,2,197,-1,622,43,1,10083,1,2289
14,1311,2856,0,120.0,0,1,1,2,95,-1,391,48,1,9797,1,2404
15,3640,2801,0,100.0,0,1,1,2,108,-1,406,40,1,9795,1,2223
16,563,3803,0,157.5,0,1,1,2,112,-1,637,63,1,10045,1,2543
17,36,1751,0,127.5,0,1,1,2,146,-1,493,51,1,10032,1,2513
18,3608,2852,0,152.5,0,1,1,2,88,-1,270,61,1,9970,1,2702
19,567,648,0,147.5,0,1,1,2,117,-1,282,59,1,9953,1,2511
20,2643,3553,0,127.5,0,1,1,2,119,-1,395,51,1,9926,1,2320
21,2096,3831,0,185.0,0,1,1,2,56,-1,139,74,1,9903,1,2253
22,1227,3824,0,125.0,0,1,1,2,188,-1,167,50,1,10041,1,2890
23,2453,1297,0,155.0,0,1,1,2,77,-1,397,62,1,11683,1,2445
24,1132,3828,0,190.0,0,1,1,2,111,-1,400,76,1,10107,1,2525
25,632,3436,0,172.5,0,1,1,2,123,-1,540,69,1,10060,1,2400
26,1629,2936,0,145.0,0,1,1,2,69,-1,387,58,1,10546,1,2457
27,2197,3893,0,137.5,0,1,1,2,123,-1,429,55,1,10603,1,2515
28,1744,3089,0,152.5,0,1,1,2,99,-1,226,61,1,10412,1,2417
