demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,Rangetype,MinCostDelay,MinDelayDelay,ApIt,ApTime,BpIt,BpTime
0,912,215,0,310.0,0,1,1,2,108,-1,384,124,1,798,1,260
1,504,490,0,272.5,0,1,1,2,89,-1,174,109,1,703,1,233
2,736,512,0,367.5,0,1,1,2,118,-1,437,147,1,777,1,338
3,646,992,0,265.0,0,1,1,2,104,-1,150,106,1,774,1,232
4,441,689,0,342.5,0,1,1,2,156,-1,504,137,1,651,1,231
5,987,424,0,322.5,0,1,1,2,133,-1,374,129,1,712,1,228
6,489,42,0,325.0,0,1,1,2,83,-1,404,130,1,655,1,231
7,559,203,0,305.0,0,1,1,2,103,-1,281,122,1,732,1,247
8,567,687,0,370.0,0,1,1,2,153,-1,575,148,1,648,1,298
9,713,505,0,375.0,0,1,1,2,114,-1,246,150,1,661,1,232
10,182,171,0,285.0,0,1,1,2,154,-1,464,114,1,823,1,235
11,858,446,0,290.0,0,1,1,2,90,-1,253,116,1,675,1,228
12,738,714,0,327.5,0,1,1,2,166,-1,385,131,1,644,1,274
13,937,826,0,192.5,0,1,1,2,183,-1,204,77,1,642,1,269
14,624,158,0,197.5,0,1,1,2,96,-1,154,79,1,679,1,247
15,200,708,0,265.0,0,1,1,2,132,-1,189,106,1,654,1,232
16,316,768,0,275.0,0,1,1,2,146,-1,356,110,1,662,1,254
17,395,860,0,347.5,0,1,1,2,49,-1,187,139,1,681,1,237
18,252,855,0,250.0,0,1,1,2,156,-1,475,100,1,673,1,234
19,737,119,0,265.0,0,1,1,2,107,-1,215,106,1,673,1,293
20,645,450,0,375.0,0,1,1,2,184,-1,316,150,1,678,1,234
21,624,354,0,315.0,0,1,1,2,122,-1,429,126,1,672,1,234
22,83,158,0,197.5,0,1,1,2,126,-1,237,79,1,657,1,233
