demandID,SourceID,Destination,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost
0,9533,9929,243.267,250.733,10,0,0,-1,271
1,496,8992,457.867,473.133,10,0,0,-1,133
2,4295,7201,424.133,438.867,10,0,0,-1,176
3,1677,2202,201.4,203.6,10,0,0,-1,475
4,6599,6830,481.467,498.533,10,0,0,-1,133
5,2323,958,164.2,166.8,10,0,0,-1,343
6,9025,116,330.067,339.933,10,0,0,-1,204
7,9568,8966,316.867,325.133,10,0,0,-1,137
8,2953,8418,320.333,329.667,10,0,0,-1,135
9,2015,1727,488.2,502.8,10,0,0,-1,128
