demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,Rangetype,MinCostDelay,MinDelayDelay,ApIt,ApTime,BpIt,BpTime
0,1058,727,0,70.0,0,1,1,2,187,-1,248,28,1,4153,1,1327
1,1007,457,0,115.0,0,1,1,2,76,-1,461,46,1,4338,1,1795
2,852,1358,0,115.0,0,1,1,2,112,-1,553,46,1,4396,1,1379
3,1947,25,0,107.5,0,1,1,2,61,-1,387,43,1,4087,1,1323
4,1898,1490,0,112.5,0,1,1,2,52,-1,123,45,1,4242,1,1320
5,256,525,0,82.5,0,1,1,2,159,-1,491,33,1,4193,1,1276
6,1542,1283,0,65.0,0,1,1,2,124,-1,344,26,1,4096,1,1423
7,813,1086,0,117.5,0,1,1,2,110,-1,360,47,1,4029,1,1250
8,746,1342,0,82.5,0,1,1,2,120,-1,335,33,1,4076,1,1366
9,343,736,0,97.5,0,1,1,2,119,-1,590,39,1,4036,1,1675
10,971,1425,0,112.5,0,1,1,2,93,-1,488,45,1,4008,1,1260
11,166,1066,0,87.5,0,1,1,2,135,-1,414,35,1,4207,1,1612
12,724,1729,0,122.5,0,1,1,2,101,-1,492,49,1,4087,1,1433
13,808,1251,0,110.0,0,1,1,2,72,-1,266,44,1,4814,1,1668
14,1795,1815,0,77.5,0,1,1,2,93,-1,490,31,1,4485,1,1577
15,1525,1655,0,107.5,0,1,1,2,135,-1,329,43,1,4077,1,1278
16,1025,1424,0,130.0,0,1,1,2,121,-1,432,52,1,4155,1,1282
17,301,1039,0,115.0,0,1,1,2,101,-1,117,46,1,4159,1,1267
18,1269,1114,0,90.0,0,1,1,2,162,-1,226,36,1,4021,1,1285
19,478,15,0,107.5,0,1,1,2,98,-1,490,43,1,4044,1,1242
20,456,821,0,117.5,0,1,1,2,124,-1,138,47,1,4005,1,1249
21,751,1779,0,102.5,0,1,1,2,102,-1,216,41,1,4023,1,1272
22,599,917,0,90.0,0,1,1,2,26,-1,98,36,1,4027,1,1231
